,CITY,POPULATION
595,Chitrakoot,"990,626"
596,Deoria,"3,098,637"
597,Etah,"1,761,152"
598,Etawah,"1,579,160"
599,Faizabad,"2,468,371"
600,Farrukhabad,"1,887,577"
601,Fatehpur,"2,632,684"
602,Firozabad,"2,496,761"
603,Gautam Buddh Nagar,"1,674,714"
604,Ghaziabad,"4,661,452"
605,Ghazipur,"3,622,727"
606,Gonda,"3,431,386"
607,Gorakhpur,"4,436,275"
608,Hamirpur,"1,104,021"
609,Hapur,"1,451,983"
610,Hardoi,"4,091,380"
611,Hathras,"1,565,678"
612,Jalaun,"1,670,718"
613,Jaunpur,"4,476,072"
614,Jhansi,"2,000,755"
615,Kannauj,"1,658,005"
616,Kanpur Dehat,"1,795,092"
617,Kanpur Nagar,"4,572,951"
618,Kasganj,"1,438,156"
619,Kaushambi,"1,596,909"
620,Kushinagar,"3,560,830"
621,Lakhimpur Kheri,"4,013,634"
622,Lalitpur,"1,218,002"
623,Lucknow,"4,588,455"
624,Maharajganj,"2,665,292"
625,Mahoba,"876,055"
626,Mainpuri,"1,847,194"
627,Mathura,"2,541,894"
628,Mau,"2,205,170"
629,Meerut,"3,447,405"
630,Mirzapur,"2,494,533"
631,Moradabad,"4,773,138"
632,Muzaffarnagar,"4,138,605"
633,Pilibhit,"2,037,225"
634,Pratapgarh,"3,173,752"
635,Raebareli,"3,404,004"
636,Rampur,"2,335,398"
637,Saharanpur,"3,464,228"
638,Sambhal,"2,217,020"
639,Sant Kabir Nagar,"1,714,300"
640,Shahjahanpur,"3,002,376"
641,Shamli[18],Survey Pending
642,Shravasti,"1,114,615"
643,Siddharthnagar,"2,553,526"
644,Sitapur,"4,474,446"
645,Sonbhadra,"1,862,612"
646,Sultanpur,"3,790,922"
647,Unnao,"3,110,595"
648,Varanasi,"3,682,194"
649,Almora,"621,927"
650,Bageshwar,"259,840"
651,Chamoli,"391,114"
652,Champawat,"259,315"
653,Dehradun,"1,698,560"
654,Haridwar,"1,927,029"
655,Nainital,"955,128"
656,Pauri Garhwal,"686,527"
657,Pithoragarh,"485,993"
658,Rudraprayag,"236,857"
659,Tehri Garhwal,"616,409"
660,Udham Singh Nagar,"1,648,367"
661,Uttarkashi,"329,686"
662,Alipurduar,"1,700,000"
663,Bankura,"3,596,292"
664,Paschim Bardhaman,"2,882,031"
665,Purba Bardhaman,"4,835,532"
666,Birbhum,"3,502,387"
667,Cooch Behar,"2,822,780"
668,Dakshin Dinajpur,"1,670,931"
669,Darjeeling,"1,842,034"
670,Hooghly,"5,520,389"
671,Howrah,"4,841,638"
672,Jalpaiguri,"3,869,675"
673,Jhargram,"1,136,548"
674,Kalimpong,"251,642"
675,Kolkata,"4,486,679"
676,Maldah,"3,997,970"
677,Murshidabad,"7,102,430"
678,Nadia,"5,168,488"
679,North 24 Parganas,"10,082,852"
680,Paschim Medinipur,"5,094,238"
681,Purba Medinipur,"4,417,377"
682,Purulia,"2,927,965"
683,South 24 Parganas,"8,153,176"
684,Uttar Dinajpur,"3,000,849"
685,Nicobar,"36,842"
686,North and Middle Andaman,"105,597"
687,South Andaman,"238,142"
688,Chandigarh,"1,055,450"
689,Dadra and Nagar Haveli,"343,709"
690,Daman,"191,173"
691,Diu,"52,074"
692,Anantnag,"1,070,144"
693,Bandipora,"385,099"
694,Baramulla,"1,015,503"
695,Badgam,"735,753"
696,Doda,"409,576"
697,Ganderbal,"297,003"
698,Jammu,"1,526,406"
699,Kathua,"615,711"
700,Kishtwar,"230,696"
701,Kulgam,"422,786"
702,Kupwara,"875,564"
703,Poonch,"476,820"
704,Pulwama,"570,060"
705,Rajouri,"619,266"
706,Ramban,"283,313"
707,Reasi,"314,714"
708,Samba,"318,611"
709,Shopian,"265,960"
710,Srinagar,"1,269,751"
711,Udhampur,"555,357"
712,Leh,"147,104"
713,Lakshadweep,"64,473[31]"
714,Central Delhi,"582,320"
715,East Delhi,"1,709,346"
716,New Delhi,"142,004"
717,North Delhi,"887,978"
718,North East Delhi,"2,241,624"
719,North West Delhi,"3,656,539"
720,Shahdara, – 
721,South Delhi,"2,731,929"
722,South East Delhi, – 
723,South West Delhi,"2,292,958"
724,West Delhi,"2,543,243"
725,Karaikal,"200,222"
726,Mahé,"41,816"
727,Pondicherry,"950,289"
728,Yanam,"55,626"
729,Kargil,"143,388"
